hparam: {'max_len': 16, 'batch_size': 16, 'learning_rate': 3e-06}, acc: 0.405429869890213, best acc = 0.405429869890213
hparam: {'max_len': 16, 'batch_size': 16, 'learning_rate': 1e-05}, acc: 0.43348416686058044, best acc = 0.43348416686058044
hparam: {'max_len': 16, 'batch_size': 16, 'learning_rate': 0.0003}, acc: 0.4552036225795746, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 16, 'learning_rate': 0.0001}, acc: 0.44751131534576416, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 32, 'learning_rate': 3e-06}, acc: 0.40045249462127686, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 32, 'learning_rate': 1e-05}, acc: 0.43574661016464233, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 32, 'learning_rate': 0.0003}, acc: 0.4420814514160156, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 32, 'learning_rate': 0.0001}, acc: 0.44570136070251465, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 40, 'learning_rate': 3e-06}, acc: 0.4013574719429016, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 40, 'learning_rate': 1e-05}, acc: 0.4239819049835205, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 40, 'learning_rate': 0.0003}, acc: 0.4502262473106384, best acc = 0.4552036225795746
hparam: {'max_len': 16, 'batch_size': 40, 'learning_rate': 0.0001}, acc: 0.45837104320526123, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 48, 'learning_rate': 3e-06}, acc: 0.3995475172996521, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 48, 'learning_rate': 1e-05}, acc: 0.42760181427001953, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 48, 'learning_rate': 0.0003}, acc: 0.4506787359714508, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 48, 'learning_rate': 0.0001}, acc: 0.4466063380241394, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 64, 'learning_rate': 3e-06}, acc: 0.3877828121185303, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 64, 'learning_rate': 1e-05}, acc: 0.42126697301864624, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 64, 'learning_rate': 0.0003}, acc: 0.4447963833808899, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 64, 'learning_rate': 0.0001}, acc: 0.45158371329307556, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 128, 'learning_rate': 3e-06}, acc: 0.37782806158065796, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 128, 'learning_rate': 1e-05}, acc: 0.41085973381996155, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 128, 'learning_rate': 0.0003}, acc: 0.4502262473106384, best acc = 0.45837104320526123
hparam: {'max_len': 16, 'batch_size': 128, 'learning_rate': 0.0001}, acc: 0.44751131534576416, best acc = 0.45837104320526123
hparam: {'max_len': 24, 'batch_size': 16, 'learning_rate': 3e-06}, acc: 0.4226244390010834, best acc = 0.45837104320526123
hparam: {'max_len': 24, 'batch_size': 16, 'learning_rate': 1e-05}, acc: 0.45203620195388794, best acc = 0.45837104320526123
hparam: {'max_len': 24, 'batch_size': 16, 'learning_rate': 0.0003}, acc: 0.46018099784851074, best acc = 0.46018099784851074
hparam: {'max_len': 24, 'batch_size': 16, 'learning_rate': 0.0001}, acc: 0.4687782824039459, best acc = 0.4687782824039459
hparam: {'max_len': 24, 'batch_size': 32, 'learning_rate': 3e-06}, acc: 0.41266968846321106, best acc = 0.4687782824039459
hparam: {'max_len': 24, 'batch_size': 32, 'learning_rate': 1e-05}, acc: 0.4402714967727661, best acc = 0.4687782824039459
hparam: {'max_len': 24, 'batch_size': 32, 'learning_rate': 0.0003}, acc: 0.4606334865093231, best acc = 0.4687782824039459
hparam: {'max_len': 24, 'batch_size': 32, 'learning_rate': 0.0001}, acc: 0.462895929813385, best acc = 0.4687782824039459
hparam: {'max_len': 24, 'batch_size': 40, 'learning_rate': 3e-06}, acc: 0.40904977917671204, best acc = 0.4687782824039459
hparam: {'max_len': 24, 'batch_size': 40, 'learning_rate': 1e-05}, acc: 0.44389140605926514, best acc = 0.4687782824039459
hparam: {'max_len': 24, 'batch_size': 40, 'learning_rate': 0.0003}, acc: 0.4524886906147003, best acc = 0.4687782824039459
hparam: {'max_len': 24, 'batch_size': 40, 'learning_rate': 0.0001}, acc: 0.4728506803512573, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 48, 'learning_rate': 3e-06}, acc: 0.4081448018550873, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 48, 'learning_rate': 1e-05}, acc: 0.4407239854335785, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 48, 'learning_rate': 0.0003}, acc: 0.4570135772228241, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 48, 'learning_rate': 0.0001}, acc: 0.4674208164215088, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 64, 'learning_rate': 3e-06}, acc: 0.4013574719429016, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 64, 'learning_rate': 1e-05}, acc: 0.43936651945114136, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 64, 'learning_rate': 0.0003}, acc: 0.4615384638309479, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 64, 'learning_rate': 0.0001}, acc: 0.44796380400657654, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 128, 'learning_rate': 3e-06}, acc: 0.37963801622390747, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 128, 'learning_rate': 1e-05}, acc: 0.4307692348957062, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 128, 'learning_rate': 0.0003}, acc: 0.46380090713500977, best acc = 0.4728506803512573
hparam: {'max_len': 24, 'batch_size': 128, 'learning_rate': 0.0001}, acc: 0.462895929813385, best acc = 0.4728506803512573
hparam: {'max_len': 32, 'batch_size': 16, 'learning_rate': 3e-06}, acc: 0.4262443482875824, best acc = 0.4728506803512573
hparam: {'max_len': 32, 'batch_size': 16, 'learning_rate': 1e-05}, acc: 0.4615384638309479, best acc = 0.4728506803512573
hparam: {'max_len': 32, 'batch_size': 16, 'learning_rate': 0.0003}, acc: 0.46606335043907166, best acc = 0.4728506803512573
hparam: {'max_len': 32, 'batch_size': 16, 'learning_rate': 0.0001}, acc: 0.4737556576728821, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 32, 'learning_rate': 3e-06}, acc: 0.41674208641052246, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 32, 'learning_rate': 1e-05}, acc: 0.45972850918769836, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 32, 'learning_rate': 0.0003}, acc: 0.4669683277606964, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 32, 'learning_rate': 0.0001}, acc: 0.4687782824039459, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 40, 'learning_rate': 3e-06}, acc: 0.4180995523929596, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 40, 'learning_rate': 1e-05}, acc: 0.45203620195388794, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 40, 'learning_rate': 0.0003}, acc: 0.45565611124038696, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 40, 'learning_rate': 0.0001}, acc: 0.46606335043907166, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 48, 'learning_rate': 3e-06}, acc: 0.4153846204280853, best acc = 0.4737556576728821
hparam: {'max_len': 32, 'batch_size': 48, 'learning_rate': 1e-05}, acc: 0.45158371329307556, best acc = 0.4737556576728821
